iata,nom
FRAEJ,COLMAR
FRXSQ,SELESTAT
FRAEG,STRASBOURG
FREAM,LORRAINE TGV
FRPST,PARIS (intramuros)
FREAJ,MEUSE TGV
FREAH,CHAMPAGNE ARDENNE TGV
FRENC,NANCY
FREPL,EPINAL
FRRNT,REMIREMONT
FRSBG,SARREBOURG
FRSNE,SAVERNE
FRLNE,LUNEVILLE
FRXTD,ST DIE
FRADE,METZ VILLE
FRRHE,REIMS
FRBDT,RETHEL
FRXCZ,CHARLEVILLE MEZIERES
FRXSW,SEDAN
FRXBD,BAR LE DUC
FRBFO,VITRY LE FRANCOIS
FRXCR,CHALONS EN CHAMPAGNE
FRXTH,THIONVILLE
LULUX,LUXEMBOURG
FRPAZ,PARIS (intramuros)
FRLAB,LES AUBRAIS ORLEANS
FRXVZ,VIERZON
FRCHR,CHATEAUROUX
FRLST,LA SOUTERRAINE
FRAGQ,LIMOGES BENEDICTINS
FRBVE,BRIVE LA GAILLARDE
FRSOU,SOUILLAC
FRFSI,GOURDON
FRZAO,CAHORS
FRFTA,CAUSSADE(TARN ET GARONNE)
FRXMW,MONTAUBAN VILLE BOURBON
FRAAW,UZERCHE
FRFMT,ARGENTON SUR CREUSE
FRFMN,ISSOUDUN
FRXYT,TOULOUSE MATABIAU
FRRDZ,RODEZ
FRFST,ST CHRISTOPHE
FRFSR,CRANSAC
FRFSQ,AUBIN
FRVZD,VIVIEZ DECAZEVILLE
FRCDC,CAPDENAC
FRFIG,FIGEAC
FRFSD,ASSIER
FRAUR,AURILLAC
FRGBG,LAROQUEBROU BATIMENT VOYAGEURS
FRBXB,BRETENOUX BIARS
FRNTE,NANTES
FRXRO,LA ROCHE SUR YON
FRLCN,LUCON
FRLRH,LA ROCHELLE VILLE
FRRCO,ROCHEFORT
FRXST,SAINTES
FREMR,JONZAC
FRBOJ,BORDEAUX ST JEAN
FRTOL,TOUL
FRNCH,NEUFCHATEAU
FRCCY,CULMONT CHALINDREY
FRABA,DIJON VILLE
FRXCD,CHALON SUR SAONE
FRHGU,MACON VILLE
FRLPD,LYON (intramuros)
FRLPE,LYON (intramuros)
